,city,date,venue,team1,team2,winner,address,location
0,Hyderabad,4/5/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
1,Pune,4/6/2017,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
2,Rajkot,4/7/2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
3,Indore,4/8/2017,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,"Holkar Cricket Stadium, Indore, Indore Tahsil, Indore, Madhya Pradesh, India","(22.72425115, 75.87967029005587)"
4,Bangalore,4/8/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
5,Hyderabad,4/9/2017,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
6,Mumbai,4/9/2017,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
7,Indore,4/10/2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"Holkar Cricket Stadium, Indore, Indore Tahsil, Indore, Madhya Pradesh, India","(22.72425115, 75.87967029005587)"
8,Pune,4/11/2017,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Gahunje, Mawal, Pune District, Maharashtra, 412101, India","(18.6738164, 73.7064113964208)"
9,Mumbai,4/12/2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
10,Kolkata,4/13/2017,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
11,Bangalore,4/14/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
12,Rajkot,4/14/2017,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
13,Kolkata,4/15/2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
14,Delhi,4/15/2017,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
15,Mumbai,4/16/2017,Wankhede Stadium,Gujarat Lions,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
16,Bangalore,4/16/2017,M Chinnaswamy Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
17,Delhi,4/17/2017,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
18,Hyderabad,4/17/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
19,Rajkot,4/18/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Stadium Internal Road, Paddhari Taluka, Rajkot, Gujarat, India","(22.362785549999998, 70.71008439911074)"
20,Hyderabad,4/19/2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
